id,productName,productBarcode,productCost,productPrice,productDescription,productPicturePath,productSuperBarcode,productChildBarcode,productQuantity,productDiscountValue,productNumberOfChild,productPromotion,productAddDate,productLatsEditDate,new_tablecol,productOldCost,productOldPrice,buyFrom
218,ซองจดหมายลายธงชาติ25ซอง/ห่อ,4301030003914,8,10,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
219,ธูปหอมกลิ่นมะลิตราดอกกุหลาบx10,4401029000136,150,150,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
220,ธูปหอมกลิ่นกำยานตราดอกกุหลาบx10,4401029000426,150,150,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
221,ธูปหอมกลิ่นกุหลาบตราดอกกุหลาบx10,4401029000525,150,150,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
222,"โรลออนเรโซน่าshower clean25มล.",4800888151780,36.66,40,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
223,พอนด์สไวท์บิวตี้สีส้ม6กรัม,4800888193933,7,10,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
224,ครีมพอนด์สไวท์บิวตี้6กรัมชมพู,4800888193940,7,10,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
225,พอนด์สไวท์บิวตี้สีส้ม6กรัมX6,4800888960122,42,60,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
226,ครีมพอนด์สไวท์บิวตี้6กรัมx6ชมพู,4800888960146,42,50,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
227,LMแดงเล็กx10,4806504610495,562,565,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
228,LMเขียวเล็กx10,4806504610501,562,565,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
229,"ไวตามิลค์ทูโกDOUBLE BLACK300มล.x12",4851480001423,12.25,14,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
230,โฟรโมสต์หวาน180มลx48,48850188242200,410,420,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
231,นมโฟร์โมสต์รสช็อคโกแลต180มล.4กล่องX12แพ็ค,48850188242309,399,420,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
232,นมโฟร์โมสต์รสจืด180มล.4กล่องX9แพ็ค,48850188803524,295,315,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
233,ปลากระป๋องโรซ่า185กรัม(แบน)4กระป๋องx12,48850511121196,825,855,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
234,ซอสภูเขาฝาเขียว600มลx12,48851954100687,335,355,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
235,นมไทยเดนมาร์ครสจืด125มล.6กล่องX8แพ็ค,48852537011567,282,299,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
236,น้ำส้มสา่ยชูกลั่น5%อสร700มล.X12,48858935387006,189,200,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
237,ดาร์ลี่เซสตี้เฟรช40กรัมพิเศษ10บาท,4891338019095,8.5,10,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
238,ดาร์ลี่เซสตี้เฟรช40กรัมพิเศษ10บาทx12,4891338019200,102,110,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
239,ดาร์ลี่เกลือเฟรช140กรัม,4891338027694,53.16,55,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
240,ดาร์ลี่เกลือเฟรช140กรัมx6,4891338027700,319,329,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
241,ดาร์ลี่มัลติแคร์80กรัม,4891338039208,33.16,39,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
242,ดาร์ลี่มัลติแคร์80กรัมx6,4891338039239,199,209,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
243,ครีมโอเลย์โททัลไวทไลเทนนิ่ง8กรัม,4902430142571,8,12,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
244,ปรับผ้านุ่มดาวนี่แพชชั่น330มล.,4902430276436,45,49,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
245,แปรงสีฟันออรัลบีชายนี่คลีนx12+1,4902430357968,129,135,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
246,"รีจอยซ์ริช แชมพู70มล.X6",4902430396653,14.17,20,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
247,"รีจอยซ์ริช แชมพู70มล.X6",4902430396660,86,86,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
248,"รีจอยซ์ขจัดรังแค3in1 แชมพู70มล.",4902430396745,14.17,20,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
249,"รีจอยซ์ขจัดรังแค3in1 แชมพู70มล.X6",4902430396752,86,89,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
250,โอเลย์เนเชอรัลพิงค์คิชหมุน7.5กรัม,4902430408097,11.16,15,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
251,โอเลย์เนเชอรัลพิงค์คิชหมุน7.5กรัมX6,4902430408417,67,67,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
252,เฮดแอนด์โชว์เดอร์คลูเมนทอล150มล,4902430412032,41.66,55,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
253,แพนทีนแชมพู70มลซิลกี้สมูท,4902430413152,16,20,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
254,แพนทีนแชมพู70มลซิลกี้สมูทx6,4902430413169,96,100,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
255,แพนทีนแชมพู70มลแฮร์ฟอล,4902430413176,16,20,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
256,แพนทีนแชมพู70มลแฮร์ฟอลx6,4902430413183,96,100,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
257,แพนทีนแชมพูโททัลแคร์70มล.,4902430413794,16,20,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
258,แพนทีนแชมพูโททัลแคร์70มล.X6,4902430413800,96,100,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
259,รีจอยซ์สมูทแชมพู70มล.,4902430432313,14.17,20,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
260,แพนทีนแชมพูโททัลแคร์120มล.,4902430450614,31,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
261,แพนทีนแชมพูแฮร์ฟอลคอนโทรล140มล.,4902430450621,31,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
262,แพนทีนแชมพูสมูทแคร์140มล.,4902430450638,31,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
263,แพนทีนครีมนวดแฮร์ฟอลคอนโทรล120มล,4902430450645,31,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
264,ดาวน์นี่ปรับผ้านุ่มแอนตี้แบค330มล,4902430452953,37.33,39,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
265,"รีจอยซ์สมุท แชมพู70มล.X6",4902430459679,86,86,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
266,แพนทีนแชมพูโททอลแดเมจแคร์120มลx3,4902430462389,93,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
267,แพนทีนแชมพูแฮร์ฟอลคอนโทรล140มล.X3,4902430462396,93,95,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
268,แพนทีนแชมพูสมูทแคร์140มล.X3,4902430462402,93,95,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
269,แพนทีนครีมนวดแฮร์ฟอลคอนโทรล120มลx3,4902430462419,93,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
270,เฮดแอนด์โชว์เดอร์คลูเมนทอล150มล.x3,4902430468565,125,145,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
271,ปรับผ้านุ่มดาวน์นี่แฟชชั่นซอง20มล.X24,4902430504218,74,75,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
272,ปรับผ้านุ่มดาวนี่มิสทิค330มล.,4902430504522,45,49,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
273,ปรับผ้านุ่มดาวน์นี่มิสทิคซอง20มล.,4902430504577,2.79,4,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
274,ปรับผ้านุ่มดาวน์นี่ซันไรซ์เฟรช375มล.X3,4902430504751,112,125,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
275,ปรับผ้านุ่มดาวนี่แพชชั่น330มล.X3,4902430504829,135,145,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
276,ดาวน์นี่ปรับผ้านุ่มแอนตี้แบค330มลx3,4902430516044,112,125,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
277,แพนทีนแชมพูเดลี่มอยซ์เจอร์140มล.,4902430541671,31,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
278,แพนทีนครีมนวดโททอลแดเมจแคร์120มล,4902430541688,31,35,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
279,ปรับผ้านุ่มดาวน์นี่มิสทิคซอง20มล.X24,4902430542449,74,75,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
280,ปรับผ้านุ่มดาวนี่มิสทิค330มล.X3,4902430552509,135,145,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
281,แพนทีนแชมพูเดลี่มอยซ์เจอร์140มล.X3,4902430554121,93,95,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
282,แพนทีนครีมนวดโททอลแดเมจแคร์120มลx3,4902430559492,93,105,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
283,แปรงสีฟันออรัลบีคลาสิคขนนุ่มx6,4902430562829,85,110,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
284,แชมพูเฮด&โชว์เดอร์แอปเปิ้ล150มล,4902430603140,41.66,55,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
285,แชมพูเฮด&โชว์เดอร์แอปเปิ้ล150มลX3,4902430609777,125,145,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
286,แชมพูเฮด&โชว์เดอรฺ์คลูเมนทอล65มล.,4902430628198,19,25,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
287,แชมพูเฮด&โชว์เดอร์แอปเปิลเฟรช65มล.,4902430628204,16.66,25,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
288,แชมพูเฮด&โชว์เดอรฺ์สมูธซิล65มล.X6,4902430628617,114,135,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
289,แชมพูเฮด&โชว์เดอรฺ์สมูธซิล65มล.,4902430628624,19,25,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
290,แชมพูเฮด&โชว์เดอร์แอปเปิ้ลเฟรช65มล.X6,4902430635073,100,125,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,0,0,NULL
